what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1339558469269
locale,sysinfo,,,"en_US",1339558469269
processors,sysinfo,,,"8",1339558469269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339558469269
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3635",1339558469269
java.specification.name,sysinfo,,,"Java Platform API Specification",1339558469269
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339558469269
java.specification.version,sysinfo,,,"1.6",1339558469269
java.vendor,sysinfo,,,"Apple Inc.",1339558469269
java.version,sysinfo,,,"1.6.0_31",1339558469269
java.vm.info,sysinfo,,,"mixed mode",1339558469269
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1339558469269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339558469269
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339558469269
java.vm.specification.version,sysinfo,,,"1.0",1339558469269
java.vm.vendor,sysinfo,,,"Apple Inc.",1339558469269
java.vm.version,sysinfo,,,"20.6-b01-415",1339558469269
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1339558469360
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.201.R33x_v201106281309,"org.eclipse.rse.subsystems.shells.core",1339558469566
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1339558469567
started,bundle,org.hibernate.eclipse.libs,3.4.0.v20111213-1944-H40-M5,"org.hibernate.eclipse.libs",1339558470393
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1339558470501
started,bundle,org.eclipse.dltk.core,2.0.0.v20100603-0936,"org.eclipse.dltk.core",1339558470638
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1339558471027
started,bundle,org.hibernate.eclipse,3.4.0.v20111213-1944-H40-M5,"org.hibernate.eclipse",1339558471212
started,bundle,org.eclipse.jgit,1.2.0.201112221803-r,"org.eclipse.jgit",1339558471213
started,bundle,org.eclipse.egit.core,1.2.0.201112221803-r,"org.eclipse.egit.core",1339558471513
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1339558472476
