what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1340037448204
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1340037448204
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1340037448329
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1340037448407
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1340037448407
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1340037448407
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1340037448419
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1340037448461
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1340037448551
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1340037448617
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1340037448617
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1340037448647
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1340037448693
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1340037448819
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1340037449016
started,bundle,org.eclipse.rse.core,3.2.2.R33x_v201110030150,"org.eclipse.rse.core",1340037449016
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1340037449135
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1340037449208
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1340037449208
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1340037449320
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1340037449466
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1340037449526
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1340037449570
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1340037449686
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1340037449826
started,bundle,org.jboss.tools.forge.ui,1.0.0.v20120604-2024-H92-CR1,"org.jboss.tools.forge.ui",1340037449876
started,bundle,org.jboss.tools.project.examples,1.2.1.v20120605-0038-H105-CR1,"org.jboss.tools.project.examples",1340037449876
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20120605-0014-H104-CR1,"org.jboss.tools.runtime.ui",1340037449974
os,sysinfo,,,"macosx",1340037449977
arch,sysinfo,,,"x86",1340037449977
ws,sysinfo,,,"cocoa",1340037449977
locale,sysinfo,,,"en_US",1340037449977
processors,sysinfo,,,"8",1340037449977
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340037449977
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1340037449977
java.specification.name,sysinfo,,,"Java Platform API Specification",1340037449977
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340037449977
