what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.common.jdt.debug.ui,3.3.0.v20111208-2036-H34-M5,"org.jboss.tools.common.jdt.debug.ui",1339719361786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719362545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719519101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719524750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719532969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719535542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719577927
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339719583970
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719584264
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719584303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719596193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719632688
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339719633981
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719635942
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719635972
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339719646374
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719648631
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719648658
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339719660561
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719666508
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719666534
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1339719682384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719683840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719843992
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719846415
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719846415
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719847457
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719847457
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719848278
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719848278
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339719849281
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719849281
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1339719850186
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339719851690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339719870110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719879138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719993976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339719997773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339720008196
